Type,title,Price VND,Price USD,Area (m2),Width,Length,bedrooms,bathrooms,district,price,,
House,Nhà  Mặt Tiền Kinh Dương Vương Quận 6 Phường 12.,45000000000,"1,800,000",305,5.5,31,2,7,Quan 6,5901.64,,
House,HẺM BA GÁC THÔNG - NHÀ KIÊN CỐ 40M2 - NGAY SÁT LÊ ĐẠI HÀNH QUẬN 10,5900000000,"236,000",40,4,10,3,3,Quan 11,5900,,
House,"NGƯỜI THÂN GỬI BÁN NHÀ 4 TẦNG LÔ GÓC, 4 PHÒNG NGỦ, GIÁ 5.9 TỶ - VỊ TRÍ VÀNG TÂN HÓA, QUẬN 6, TP.HCM",5900000000,"236,000",40,3.5,12,4,3,Quan 6,5900,,
House,"Bán nhà TT Q11- Sát Lê Đại Hành- 3 Tháng 2, 40m2, 4 Tầng BTCT- Đầy Đủ Công Năng- Chỉ 5.9 Tỷ TL",5900000000,"236,000",40,4,10,3,3,Quan 11,5900,,
Apartment,KHU PHÂN LÔ 5 TẦNG CÓ THANG MÁY NGAY PHÚ MỸ HƯNG QUẬN 7 5.2*12M CHỈ 9.2 TỶ,9200000000,"368,000",62.4,5.2,12,4,5,Quan 7,5897.44,,
House,"Bán nhà MT Võ Văn Kiệt, An Lạc, Binh Tân, 
DT 71/95m2 - 4.5 × 21 - 5 tầng,
Giá 14 tỷ TL.",14000000000,"560,000",95,4.5,21,4,5,Quan Binh Tan,5894.74,,
House,"Bán nhà MT Võ Văn Kiệt, An Lạc, Binh Tân, 
DT 71/95m2 - 4.5 × 21 - 5 tầng,
Giá 14 tỷ TL.",14000000000,"560,000",95,4.5,21,4,5,Quan Binh Tan,5894.74,,
House,"HIẾM! Đường xe tải! Bán nhà 2 tầng Điện Biên Phủ, P21. Ngay Hàng Xanh, D2, Landmart. LH: 0938159985",5000000000,"200,000",34,5.7,6,2,2,Quan Binh Thanh,5882.35,,
House,Cần bán nhà NGUYỄN KIỆM gàn HXH 6m x 9m - chỉ 7.35 tỷ,7350000000,"294,000",50,6,9,4,5,Quan Phu Nhuan,5880,,
House,Bán Nhà HXH - Đường Bùi Đình Túy - Quận Bình Thạnh - 60m2 -  Chỉ Nhỉnh 8Tỷ .,8800000000,"352,000",60,5,12,8,8,Quan Binh Thanh,5866.67,,
House,NHÀ PHỐ NHÀ PHẠM VĂN CHIÊU - P.14 - GÒ VẤP,8200000000,"328,000",56,4,14,4,5,Quan Go Vap,5857.14,,
House,NHÀ PHỐ NHÀ PHẠM VĂN CHIÊU - P.14 - GÒ VẤP,8200000000,"328,000",56,4,14,4,5,Quan Go Vap,5857.14,,
Land,"NGÀY 01/07/2024 - GIẢM 300 TRIỆU CÒN 12 TỶ.
MẶT TIỀN  P.4 TÂN BÌNH - 84M2 CN ĐỦ - NGANG HƠN 4.5M",12300000000,"492,000",84,4.5,18.5,2,2,Quan Tan Binh,5857.14,,
House,"Bán nhà Mặt tiền đỉnh 789 Âu Cơ, Phường Tân Thành, Quận Tân Phú, 3,6x15, chỉ 7,6 tỷ. Trungtamnhaban",7600000000,"304,000",52,3.6,15,2,2,Quan Tan Phu,5846.15,,
Land,6 tầng có hầm ô tô mặt tiền Khuông Việt 4mx22m,12800000000,"512,000",88,4,22,8,6,Quan Tan Phu,5818.18,,
House,"Giảm 400tr, bán gấp nhà THÍCH QUẢNG ĐỨC 4 tầng BTCT, 4 PN, 6.25 tỷ.",6250000000,"250,000",43,4,11,4,4,Quan Phu Nhuan,5813.95,,
House,BÁN GẤP NHÀ MỚI 2 MẶT TIỀN KINH DOANH - 9.3 TỶ (TÂN PHÚ),9300000000,"372,000",64,4,16,4,3,Quan Tan Phu,5812.5,,
House,BÁN GẤP NHÀ MỚI 2 MẶT TIỀN KINH DOANH - 9.3 TỶ (TÂN PHÚ),9300000000,"372,000",64,4,16,4,3,Quan Tan Phu,5812.5,,
House,BÁN GẤP NHÀ MỚI 2 MẶT TIỀN KINH DOANH - 9.3 TỶ (TÂN PHÚ),9300000000,"372,000",64,4,16,4,3,Quan Tan Phu,5812.5,,
House,BÁN GẤP NHÀ MỚI 2 MẶT TIỀN KINH DOANH - 9.3 TỶ (TÂN PHÚ),9300000000,"372,000",64,4,16,4,3,Quan Tan Phu,5812.5,,
House,BÁN GẤP NHÀ MỚI 2 MẶT TIỀN KINH DOANH - 9.3 TỶ (TÂN PHÚ),9300000000,"372,000",64,4,16,4,3,Quan Tan Phu,5812.5,,
House,BÁN GẤP NHÀ MỚI 2 MẶT TIỀN KINH DOANH - 9.3 TỶ (TÂN PHÚ),9300000000,"372,000",64,4,16,4,3,Quan Tan Phu,5812.5,,
House,"Sát Q1, 30m2! Bán nhà 3 tầng XVNT, P21. Ngay Sở Thú, Hàng Xanh, Ngô Tất Tố. LH: 0938.159985",4350000000,"174,000",30,5,6,5,6,Quan Binh Thanh,5800,,
House,"BÁN NHÀ 2 TẦNG, 40M2, TÂN KIỂNG, QUẬN 7 - GIÁ 5.8 TỶ - SỔ HỒNG CHÍNH CHỦ",5800000000,"232,000",40,4,10,2,3,Quan 7,5800,,
House,"BÁN NHÀ 2 TẦNG, 40M2, NGAY TÂN KIỂNG, QUẬN 7 - GIÁ 5.8 TỶ - SỔ HỒNG CHÍNH CHỦ",5800000000,"232,000",40,4,10,2,3,Quan 7,5800,,
House,"BÁN NHÀ 2 TẦNG, 40M², 5.8 TỶ - VỊ TRÍ VÀNG TÂN KIỂNG, QUẬN 7, SỔ HỒNG CHÍNH CHỦ",5800000000,"232,000",40,4,10,2,3,Quan 7,5800,,
House,Hiếm Thoại Ngọc Hầu - HXH 8m - 60m - 4 tầng - giáp Bầu Cát UBND,8690000000,"347,600",60,4,15,4,4,Quan Tan Phu,5793.33,,
House,"Gấp bán HXH 273. Nguyễn Văn Đậu, Bình Thạnh. 40m2, 2 tầng kiên cố, ngang 4m. 5.79 tỷ",5790000000,"231,600",40,4,10,2,2,Quan Binh Thanh,5790,,
House,BÁN NHÀ ĐẸP 5 TẦNG- 4 PHÒNG NGỦ - LÊ VĂN QUỚI- BÌNH HƯNG HÒA A -GỌI CHO EM XEM NHÀ,9100000000,"364,000",63,4.5,14,4,4,Quan Binh Tan,5777.78,,
House,Bán CHDV 41m2 4T 7PN Hẻm xe hơi thông  3/2 Quận 10 chỉ 5.9 tỷ.,5900000000,"236,000",41,4,10.3,7,7,Quan 10,5756.1,,
House,"Bán Nhà Gần Hoàng Diệu 2 Linh Chiểu, Khu Phân Lô ĐẸP, Nhỉnh 8 Tỷ, Đường 2 Xe Hơi Tránh, Ở NGAY",8900000000,"356,000",62,4,15,3,3,Thanh pho Thu Đuc,5741.94,,
House,"Nhỉnh 13 Tỷ có ngay nhà 4 tầng 92m2 Đường to, Tân Thuận Tây Quận 7",13200000000,"528,000",92,4,23,6,5,Quan 7,5739.13,,
Land,"Bán gấp Villa MT ĐƯỜNG 64 . Phường Thảo Điền, TP. Thủ Đức
- Diện tích 363,3m2. - 52 TỶ",52000000000,"2,080,000",363,12,27,6,7,Quan 2,5730.03,,
House,Siêu Phẩm Trung Tâm Đường Nguyễn Duy Dương Quận 10 Phường 4.,3150000000,"126,000",22,3,6,2,3,Quan 10,5727.27,,
Land,MT Bế Văn Cầm 49m2 3 tầng Tân Kiểng Quận 7 giá 7 tỷ,7000000000,"280,000",49,3.5,14,4,3,Quan 7,5714.29,,
House,"Cần bán nhà  KDC Nam Long, Quận 7 Giá chào 11.4 tỷ",11400000000,"456,000",80,4,20,4,6,Quan 7,5700,,
House,"Cần bán nhà  KDC Nam Long, Quận 7 Giá chào 11.4 tỷ",11400000000,"456,000",80,4,20,4,6,Quan 7,5700,,
House,"Cần bán nhà  KDC Nam Long, Quận 7 Giá chào 11.4 tỷ",11400000000,"456,000",80,4,20,4,6,Quan 7,5700,,
House,"Cần bán nhà  KDC Nam Long, Quận 7 Giá chào 11.4 tỷ",11400000000,"456,000",80,4,20,4,6,Quan 7,5700,,
House,"Cần bán nhà  KDC Nam Long, Quận 7 Giá chào 11.4 tỷ",11400000000,"456,000",80,4,20,4,6,Quan 7,5700,,
House,"BÁN GẤP TÒA NHÀ KINH DOANH PHỨC HỢP THU NHẬP CỰC KHỦNG, QUẬN 12",72000000000,"2,880,000",507,25,21,3,1,Quan 12,5680.47,,
House,"BÁN NHÀ PHỐ 3 TẦNG, 60M2, VỊ TRÍ VÀNG KHA VẠN CÂN - THỦ ĐỨC - GIÁ CHỈ 8.5 TỶ, SỔ HỒNG RIÊNG",8500000000,"340,000",60,4,15,4,5,Thanh pho Thu Đuc,5666.67,,
House,"BÁN NHÀ PHỐ 3 TẦNG, 60M2, VỊ TRÍ VÀNG KHA VẠN CÂN - THỦ ĐỨC - GIÁ CHỈ 8.5 TỶ, SỔ HỒNG RIÊNG",8500000000,"340,000",60,4,15,4,5,Thanh pho Thu Đuc,5666.67,,
House,Bán gấp nhà hxh Nguyễn Thị Thập sau căn Mặt Tiền Q7,8500000000,"340,000",60,5,12,5,6,Quan 7,5666.67,,
House,"Bán nhà riêng mặt tiền 5*14 4 tầng Chợ Tân Quy quận 7 giá chỉ 9,9 tỷ",9900000000,"396,000",70,5,14,4,5,Quan 7,5657.14,,
House,"--Bán nhà hẻm 730 Lạc Long Quân, phường 9 Tân Bình; 4,2x9; 4 tầng",5369000000,"214,760",38,4,9,4,4,Quan Tan Binh,5651.58,,
Villa,"Bán biệt thự liền kề Gia Hòa, P.Phước Long B, Q.9 - 16.8 tỷ",16800000000,"672,000",119,7,19,4,6,Quan 9,5647.06,,
House,"BÁN NHÀ ĐƯỜNG ÂU CƠ, P10, Q.TÂN BÌNH 3PN, 3WC, 3,95 TỶ",3950000000,"158,000",28,3.5,8,3,3,Quan Tan Binh,5642.86,,
House,NHÀ PHỐ KHU ĐỒNG BỘ ĐƯỜNG THỐNG NHẤT - P.16 - GÒ VẤ,7890000000,"315,600",56,4,14,4,5,Quan Go Vap,5635.71,,
House,TRUNG TÂM BÌNH THẠNH - 2 TẦNG 2PN 2WC.NHÀ MỚI KENG. Phan Văn Trị,3250000000,"130,000",23.1,3.3,7,1,1,Quan Binh Thanh,5627.71,,
House,TRUNG TÂM BÌNH THẠNH - 2 TẦNG 2PN 2WC.NHÀ MỚI KENG. Phan Văn Trị,3250000000,"130,000",23.1,3.3,7,2,2,Quan Binh Thanh,5627.71,,
House,TRUNG TÂM BÌNH THẠNH - 2 TẦNG 2PN 2WC.NHÀ MỚI KENG. Phan Văn Trị,3250000000,"130,000",23.1,3.3,7,2,2,Quan Binh Thanh,5627.71,,
House,TRUNG TÂM BÌNH THẠNH - 2 TẦNG 2PN 2WC.NHÀ MỚI KENG. Phan Văn Trị,3250000000,"130,000",23.1,3.3,7,2,2,Quan Binh Thanh,5627.71,,
House,TRUNG TÂM BÌNH THẠNH - 2 TẦNG 2PN 2WC.NHÀ MỚI KENG. Phan Văn Trị,3250000000,"130,000",23.1,3.3,7,2,2,Quan Binh Thanh,5627.71,,
House,NHÀ XINH ETOWN CỘNG HÒA P13 TÂN BÌNH HẺM XE HƠI NGANG 3.6M XÂY 2 TẦNG 2 WC 2 PHÒNG NGỦ CHỈ 4 TỈ,4500000000,"180,000",32,3.6,9,2,2,Quan Tan Binh,5625,,
House,"Bán Nhà 5 tầng Mặt tiền đường NGUYỄN THỊ KIỂU, phường HT, Q12, dt 64m2 (4mx22m) Giá 9Tỷ",9000000000,"360,000",64,4,22,4,4,Quan 12,5625,,
House,"Bán Nhà 5 tầng Mặt tiền đường NGUYỄN THỊ KIỂU, phường HT, Q12, dt 64m2 (4mx22m) Giá 9Tỷ",9000000000,"360,000",64,4,22,4,4,Quan 12,5625,,
House,"Bán Nhà 5 tầng Mặt tiền đường NGUYỄN THỊ KIỂU, phường HT, Q12, dt 64m2 (4mx22m) Giá 9Tỷ",9000000000,"360,000",64,4,22,4,4,Quan 12,5625,,
House,"Bán Nhà 5 tầng Mặt tiền đường NGUYỄN THỊ KIỂU, phường HT, Q12, dt 64m2 (4mx22m) Giá 9Tỷ",9000000000,"360,000",64,4,22,4,4,Quan 12,5625,,
House,"Bán Nhà 5 tầng Mặt tiền đường NGUYỄN THỊ KIỂU, phường HT, Q12, dt 64m2 (4mx22m) Giá 9Tỷ",9000000000,"360,000",64,4,22,4,4,Quan 12,5625,,
House,"NGUYỄN VĂN ĐẬU 42M2 CHỈ 5.9 TỶ ĐẦY ĐỦ NỘI THẤT CAO CẤP VÀO Ở NGAY ĐÓN TẾT LUÔN Ạ, BÁN GẤP HẺM XE",5900000000,"236,000",42,4,10.5,2,2,Quan Binh Thanh,5619.05,,
House,📣📣📣 SIÊU PHẨM NHÀ ĐẸP  GÒ VẤP - FULL NỘI THẤT - 30M2 - HẺM BA GÁC - CÁCH ĐƯỜNG SỐ 1 CHỈ 50M - 5,4200000000,"168,000",30,3.5,9,2,2,Quan Go Vap,5600,,
House,📣📣📣 SIÊU PHẨM NHÀ ĐẸP  GÒ VẤP - FULL NỘI THẤT - 30M2 - HẺM BA GÁC - CÁCH ĐƯỜNG SỐ 1 CHỈ 50M - 5,4200000000,"168,000",30,3.5,9,2,2,Quan Go Vap,5600,,
House,Bán Nhà Mặt Tiền Kinh Doanh 5×13 Lê Văn Thọ F11 Gò Vấp 10.5 Tỷ,10490000000,"419,600",75,5,13,3,2,Quan Go Vap,5594.67,,
House,Bán Nhà Mặt Tiền Kinh Doanh 5×13 Lê Văn Thọ F11 Gò Vấp 10.5 Tỷ,10490000000,"419,600",75,5,13,2,2,Quan Go Vap,5594.67,,
House,Bán Nhà Mặt Tiền Kinh Doanh 5×13 Lê Văn Thọ F11 Gò Vấp 10.5 Tỷ,10490000000,"419,600",75,5,13,2,2,Quan Go Vap,5594.67,,
House,Bán Nhà Mặt Tiền Kinh Doanh 5×13 Lê Văn Thọ F11 Gò Vấp 10.5 Tỷ,10490000000,"419,600",75,5,13,2,2,Quan Go Vap,5594.67,,
House,Bán Nhà Mặt Tiền Kinh Doanh 5×13 Lê Văn Thọ F11 Gò Vấp 10.5 Tỷ,10490000000,"419,600",75,5,13,2,2,Quan Go Vap,5594.67,,
House,BÁN NHÀ PHÚ NHUẬN HXH 68M2 4 TẦNG NGANG GẦN 4M 4 PN MASTER SÁT MẶT TIỀN VIP HUỲNH VĂN BÁNH 9.5 TỶ.,9500000000,"380,000",68,4,17,4,4,Quan Phu Nhuan,5588.24,,
House,"Bán nhà 6 Tầng, Phạm Văn Chiêu – Phường 14. Tương lai Wiev Kênh Tham Lương tuyệt đẹp.",8380000000,"335,200",60,4,15,5,6,Quan Go Vap,5586.67,,
House,"Bán nhà Điện Biên Phủ Quận 10,43m2 5T 7PN đẹp chỉ 6 tỷ.",6000000000,"240,000",43,4,11,7,7,Quan 10,5581.4,,
House,"Bán nhà Hẻm 5m, Nguyễn thị thập - Tân Phú- Quận 7- 60m2 - ngang 5m, 4 Tầng- giá bán nhỉnh 8 tỷ tl",8370000000,"334,800",60,5,12,4,5,Quan 7,5580,,
House,NHÀ ĐẸP XE HƠI ĐỖ CỬA - NƠ TRANG LONG BÌNH THẠNH- GẦN NGÃ BA TRẦN QUÝ CÁP - CẦU BĂNG KY - CHỈ 4.6,4600000000,"184,000",33,4.5,7,3,3,Quan Binh Thanh,5575.76,,
House,🈴KHU [PHAN XÍCH LONG]-GIÁP Q1-NHÀ ĐẸP FULL NỘI THẤT-41m²-NỞ HẬU-CHỈ 5.68 TỶ.🍀,5700000000,"228,000",41,3.2,13,3,2,Quan Binh Thanh,5560.98,,
House,🔥✅ 50m2 - 6 Tầng - Phường 8 - Tân Bình - Chỉ 7 T.ỷ,7000000000,"280,000",50.4,4.2,12,8,8,Quan Tan Binh,5555.56,,
House,"bán nhà mặt tiền 13 đường số 7 phường 7 quận gò vấp trệt lầu nhà mới 1,8 tỉ shr",1800000000,"72,000",13,4,4,1,1,Quan Go Vap,5538.46,,
House,"Bán nhà lô gốc hẻm 100 Bình Thới Q11 view công viên 8x14, 3Lầu 15.5 tỷ",15500000000,"620,000",112,8,14,4,3,Quan 11,5535.71,,
House,Bán nhà kinh doanh  Dương Bá Trạc 150m2 phường 1 quận 8 chỉ 17 tỷ,17000000000,"680,000",123,4,29,7,7,Quan 8,5528.46,,
House,Bán nhà kinh doanh  Dương Bá Trạc 150m2 phường 1 quận 8 chỉ 17 tỷ,17000000000,"680,000",123,4,29,7,7,Quan 8,5528.46,,
House,"Bán nhà KDC Bình Hoà, P13, Bình Thạnh. 5x20m, 3 lầu, 5 PN. Đường nội bộ 12 mét. Nhà đẹp vào ở liền",13800000000,"552,000",100,5,20,5,5,Quan Binh Thanh,5520,,
House,+1 NHÀ ĐẸP GẦN Q1- 41M2 - 3 TẦNG - FULL NT - NHỈNH 5 TỶ,5650000000,"226,000",41,3.2,13,3,3,Quan Binh Thanh,5512.2,,
House,"Q8 P1 DƯƠNG BÁ TRẠC KHU VỰC VIP FULL NỘI THẤT MUA NHÀ  Ở NGAY  QUA QUẬN 1,5 CHỈ 2 PHÚT PHÚ MỸ HƯNG",3300000000,"132,000",24,3,8,2,2,Quan 8,5500,,
House,"Bán nhà riêng 24m2 Dương Bá Trạc 2 tầng 2 pn 2wc phường 1 quận 8 chỉ 3,3 tỷ",3300000000,"132,000",24,3,8,2,2,Quan 8,5500,,
House,"Bán nhà riêng 24m2 Dương Bá Trạc 2 tầng 2 pn 2wc phường 1 quận 8 chỉ 3,3 tỷ",3300000000,"132,000",24,3,8,2,2,Quan 8,5500,,
House,"Bán nhà mặt tiền giá rẻ 45A Lê Đại, chỉ 5,5 tỷ, Phú Thọ Hòa, Quận Tân Phú, Trung Tâm Nhà Bán",5500000000,"220,000",40,3.8,11.7,2,2,Quan Tan Phu,5500,,
House,"NHÀ BÁN ĐƯỜNG NGUYỄN THÁI SƠN
CĂN NHÀ PHỐ ĐƯỜNG NGUYỄN THÁI SƠN - PHƯỜNG 7 - GÒ VẤP",5350000000,"214,000",39,3,13,3,3,Quan Go Vap,5487.18,,
Land,"Bán đất khu Kiều Đàm Phường Tân Hưng, Quận 7, TP HCM giá 7 tỷ  200 triệu",7200000000,"288,000",52.5,4.2,12.5,4,4,Quan 7,5485.71,,
Apartment,"CĂN HỘ DỊCH VỤ 4 TẦNG, DÒNG TIỀN SẴN 32TR/ THÁNG - SÁT HIMLAM, QUẬN 7",6850000000,"274,000",50,4,12.5,7,7,Quan 7,5480,,
House,"Nhà 4 tầng hẻm Ôtô ới đường Âu Dương Lân P3Q8. Giá 5,75 tỷ TL",5750000000,"230,000",42,4.2,10,4,3,Quan 8,5476.19,,
Land,"Thủ Đức ! Chính chủ bán hoặc cho thuê nhà phố kinh doanh MT Đường D, Tel : 0909361156 (",16000000000,"640,000",117,6,19,1,1,Thanh pho Thu Đuc,5470.09,,
Apartment,"Biệt thự thang máy 6 tầng có Hầm để xe, hẻm 1/ hẻm xe tài Nguyễn Văn Đậu Bình Thạnh rẻ hơn thị",10800000000,"432,000",79,6,13,6,7,Quan Binh Thanh,5468.35,,
House,BÁN NHÀ MỚI ĐẸP LỘNG LẪY HẺM RỘNG 7m LÊ VĂN QUỚI .P BHHA . Q BÌNH TÂN. SIÊU PHẨM KHU VỰC VIP HOT,7100000000,"284,000",52,4,13,6,5,Quan Binh Tan,5461.54,,
Land,MẶT TIỀN KHÁCH SẠN 7 TẦNG THANG MÁY - 28 PHÒNG - 205m2 AN DƯƠNG VƯƠNG QUẬN 8 - NHỈNH 27 TỶ TL,27950000000,"1,118,000",205,5,41,2,2,Quan 8,5453.66,,
House,NGAY AEON MALL - NHÀ MỚI 2 MẶT HXH - 4 TẦNG BTCT - 62M GIÁ NHỈNH 8 TỶ,8450000000,"338,000",62,4,15.2,4,4,Quan Tan Phu,5451.61,,
House,"Nhà hẻm thông 285, đường Cách Mạng Tháng 8, 5.9 ×18, hai mặt hẻm trước sau, chỉ 12.8 tỷ.",12800000000,"512,000",94,5.9,18,2,2,Quan 10,5446.81,,
House,"Bán Nhà HXT 5,2×13 Quang Trung Gò Vấp 10,6 Tỷ",10599000000,"423,960",78,5.2,13,5,6,Quan Go Vap,5435.38,,
Land,"Tuyệt phẩm 3 tầng hẻm 307 Thạch Lam, 4x7, P Phú Thạnh, Quận Tân Phú, View Mặt tiền Công Viên.Chỉ",3800000000,"152,000",28,4,7,3,2,Quan Tan Phu,5428.57,,
House,"Nhà 2 tầng nở hậu hẻm Dương Bá Trạc P2Q8. Giá 3,8 tỷ TL",3800000000,"152,000",28,2.8,9.8,2,2,Quan 8,5428.57,,
House,"Nhà 2 tầng nở hậu hẻm Dương Bá Trạc P2Q8. Giá 3,8 tỷ TL",3800000000,"152,000",28,2.8,9.8,2,2,Quan 8,5428.57,,
House,Vip Đường Út Tịch Phường 4 Quận Tân Bình.,9500000000,"380,000",70,5,14,4,5,Quan Tan Binh,5428.57,,
House,"Giảm 300 triệu bán nhà LÊ VĂN SỸ, PN, 4m X 11m, 4 PN, 6.1 TỶ",6100000000,"244,000",45,4,11,5,4,Quan Phu Nhuan,5422.22,,
House,"Nhà Mới Đẹp HXH Thông Hồng Bàng, Phường 12, Quận 6. DT 33m2 x 3 Tầng .
Giá 4.47 tỷ TL.",4470000000,"178,800",33,3,11,2,2,Quan 6,5418.18,,
Land,🏚🚗🚒 MẶT TIỀN ĐỘC LẬP - TP - 74M - 2 TẦNG - CHỈ 10 TỶ - VỊ TRÍ KINH DOANH SIÊU ĐỈNH - CHỐT GẤP.,10000000000,"400,000",74,4,18.5,3,2,Quan Tan Phu,5405.41,,
House,+1 BÁN NHÀ MẶT TIỀN ĐƯỜNG - P.12- BÌNH THẠNH- NGANG 7M - KINH DOANH TỐT - CHỈ 8.X TỶ,8500000000,"340,000",63,6.3,10,3,3,Quan Binh Thanh,5396.83,,
House,Bán nhà HIẾM hẻm 108 Nguyễn Văn Khối 95m2(5x19) 3 lầu vừa ở vừa KD ngay Làng Hoa 12.8 tỷ.,12800000000,"512,000",95,5,19,5,5,Quan Go Vap,5389.47,,
Villa,"INDOCHINE VILLA Đối Diện EMART Phan Huy Ích, Gò Vấp. Chỉ với 13.468 tỷ",13468000000,"538,720",100,7,15,5,7,Quan Go Vap,5387.2,,
House,Bán nhà riêng 5x24 Bông Sao 4 tầng phường 5 quận 8 giá chỉ 16 tỷ,16000000000,"640,000",119,5,24,7,7,Quan 8,5378.15,,
House,Bán nhà riêng 5x24 Bông Sao 4 tầng phường 5 quận 8 giá chỉ 16 tỷ,16000000000,"640,000",119,5,24,7,7,Quan 8,5378.15,,
House,"Bán Nhà Hẻm Xe Tải Tránh Nhau Ql 13, F26 Bình Thạnh",8200000000,"328,000",61,5.9,10.5,3,2,Quan Binh Thanh,5377.05,,
House,Bán nhà mặt tiền hẻm - Đinh Bộ Lĩnh - Bình Thanh. - Tphcm,8600000000,"344,000",64,4,16,4,3,Quan Binh Thanh,5375,,
House,"Trịnh Quang Nghị phường 7 quận 8 Bán nhà riêng 88m2 4 tầng 6pn  giá chỉ 11,8 tỷ",11800000000,"472,000",88,4,22,6,5,Quan 8,5363.64,,
House,"Bán nhà riêng Trịnh Quang Nghị phường 7 quận 8 88m2 4 tầng 6pn  giá chỉ 11,8 tỷ",11800000000,"472,000",88,4,22,6,5,Quan 8,5363.64,,
House,"Bán nhà riêng 88m2 4 tầng 6pn Trịnh Quang Nghị phường 7 quận 8 giá chỉ 11,8 tỷ",11800000000,"472,000",88,4,22,6,5,Quan 8,5363.64,,
House,Bán nhà nhà riêng 52m2 Đặng Thúc Liêng 3 pn 3 wc phường 4 quận 8 chỉ 7 tỷ 100,7100000000,"284,000",53,4,13,3,3,Quan 8,5358.49,,
House,Bán nhà nhà riêng 52m2 Đặng Thúc Liêng 3 pn 3 wc phường 4 quận 8 chỉ 7 tỷ 100,7100000000,"284,000",53,4,13,3,3,Quan 8,5358.49,,
House,Nhà mới 2 tầng hẻm 141 Tám Danh P4 Q8 (ko qui hoạch),4680000000,"187,200",35,3.44,10,2,2,Quan 8,5348.57,,
House,LK ĐẸP LUNG LINH - HIẾM - TẶNG FULL NỘI THẤT - KINH DOANH QUÁN ĂN,4000000000,"160,000",30,3,7,2,1,Thanh pho Thu Đuc,5333.33,,
House,GIA ĐÌNH ĐI MỸ ĐỂ LẠI EM 4 TẦNG 75M2-6PN-HXH NHỰA-KHU VIP-P11-BÌNH THẠNH-CHỈ 10 TỶ,10000000000,"400,000",75,3,25,6,4,Quan Binh Thanh,5333.33,,
Villa,SIÊU PHẨM BIỆT THỰ MINI THIẾT KẾ HIỆN ĐẠI TT BÌNH THẠNH HẺM XE HƠI.TẶNG NỘI NHỈNH 8TỶ.,8000000000,"320,000",60,3.8,17,4,5,Quan Binh Thanh,5333.33,,
Villa,SIÊU PHẨM BIỆT THỰ MINI THIẾT KẾ HIỆN ĐẠI TT BÌNH THẠNH HẺM XE HƠI.TẶNG NỘI NHỈNH 8TỶ.,8000000000,"320,000",60,3.8,17,4,5,Quan Binh Thanh,5333.33,,
Villa,SIÊU PHẨM BIỆT THỰ MINI THIẾT KẾ HIỆN ĐẠI TT BÌNH THẠNH HẺM XE HƠI.TẶNG NỘI NHỈNH 8TỶ.,8000000000,"320,000",60,3.8,17,4,5,Quan Binh Thanh,5333.33,,
Land,"GẦN MT ĐS1 - GẦN UBND F16, TRƯỜNG NGUYỄN DU - 2 TẦNG 2PN - TẶNG FULL NT - 30m2 (3,5x9) - GẤP",3990000000,"159,600",30,3.5,9,2,2,Quan Go Vap,5320,,
House,"NHÀ BÁN ĐOÀN VĂN BƠ, Q4, 16 PHÒNG ĐANG CHO THUÊ 60TR.THÁNG, 7.980 TỶ TL",7980000000,"319,200",60,4,15,1,1,Quan 4,5320,,
House,ĐINH BỘ LĨNH - 52M2- 4 TẦNG - NGANG 4.1 DÀI 12.7 - CHỈ 6.9 TỶ,6900000000,"276,000",52,4.1,12.7,5,5,Quan Binh Thanh,5307.69,,
House,"Bán nhà Dương Bá Trạc - Quận 8 - 74,2 m2 -  4 Tầng -  6,9 tỷ.",6900000000,"276,000",52,4.3,17.2,4,4,Quan 8,5307.69,,
House,"Bán nhà Tân Phú 40m2, 4 tầng, ngang 5.5m, giá 5.3 tỷ",5300000000,"212,000",40,5.5,7.5,2,3,Quan Tan Phu,5300,,
House,"Bán nhà Tân Phú 40m2, 4 tầng, ngang 5.5m, giá 5.3 tỷ",5300000000,"212,000",40,5.5,7.5,2,3,Quan Tan Phu,5300,,
House,BÁN NHÀ MẶT PHỐ HIỆP BÌNH CHÁNH - THỦ ĐỨC - 15.5 TỶ - 117M2 - 2 TẦNG - HOÀN CÔNG,15500000000,"620,000",117,8,15,3,3,Thanh pho Thu Đuc,5299.15,,
House,"Bán Nhà MẶT TIỀN KD đường Ung Văn Khiêm,Q.Bình Thạnh,DT:13mx90m,KC:,1 Tầng,Giá:155 tỷ",1.55E+11,"6,200,000",1170,13,90,4,5,Quan Binh Thanh,5299.15,,
House,NHÀ TT PHÚ NHUẬN- VỊ TRÍ ĐẸP.GIÁ TỐT.9TỶTL.,9000000000,"360,000",68,6.2,18,4,5,Quan Phu Nhuan,5294.12,,
House,NHÀ TT PHÚ NHUẬN- VỊ TRÍ ĐẸP.GIÁ TỐT.9TỶTL.,9000000000,"360,000",68,6.2,18,4,5,Quan Phu Nhuan,5294.12,,
House,NHÀ TT PHÚ NHUẬN- VỊ TRÍ ĐẸP.GIÁ TỐT.9TỶTL.,9000000000,"360,000",68,6.2,18,4,5,Quan Phu Nhuan,5294.12,,
House,Bán nhà riêng 9*19 Bùi Văn Ba 4 tầng 5pn Tân Thuận Đông Q7 giá chỉ 22.5 tỷ,22500000000,"900,000",170,9,19,5,6,Quan 7,5294.12,,
